date,thr,y_true,y_true_high,proba_high,pred_high_0p5,train_pos_rate,target,high_q,class_weight
2025-10-09,0.03483286674240941,0.0281465091669815,0,0.00472907382096248,0,0.05172413793103448,target_absret_next7d,0.95,None
2025-10-10,0.03475119188966312,0.0197811168072082,0,0.9468312123412727,1,0.05150214592274678,target_absret_next7d,0.95,None
2025-10-11,0.03466951703691688,0.0179632216076774,0,0.07745709037587833,0,0.05128205128205128,target_absret_next7d,0.95,None
2025-10-12,0.03458784218417059,0.0144385837868423,0,0.03000518974317457,0,0.05106382978723404,target_absret_next7d,0.95,None
2025-10-13,0.03450616733142435,0.0166622785987307,0,0.010872910433996697,0,0.05084745762711865,target_absret_next7d,0.95,None
2025-10-14,0.03442449247867806,0.0168537454533208,0,0.01546746545039504,0,0.05063291139240506,target_absret_next7d,0.95,None
2025-10-15,0.03434281762593177,0.0149609492605125,0,0.01031375424916475,0,0.05042016806722689,target_absret_next7d,0.95,None
2025-10-16,0.03426114277318553,0.0148875395395502,0,0.021045794509486355,0,0.0502092050209205,target_absret_next7d,0.95,None
2025-10-17,0.034179467920439244,0.0137503154235062,0,0.14239941351928492,0,0.05,target_absret_next7d,0.95,None
2025-10-18,0.034097793067693,0.0135595368801584,0,0.016675150370956814,0,0.05394190871369295,target_absret_next7d,0.95,None
2025-10-19,0.03406405916032372,0.0152900590983862,0,0.04865468782916326,0,0.05371900826446281,target_absret_next7d,0.95,None
2025-10-20,0.03403032525295444,0.0133854078356259,0,0.0686674708125345,0,0.053497942386831275,target_absret_next7d,0.95,None
2025-10-21,0.033996591345585185,0.0120226408703074,0,0.17428202820968938,0,0.05327868852459016,target_absret_next7d,0.95,None
2025-10-22,0.03396285743821591,0.0147185834672391,0,0.07135797110429594,0,0.053061224489795916,target_absret_next7d,0.95,None
2025-10-23,0.03392912353084665,0.0136786310918289,0,0.02716581841353122,0,0.052845528455284556,target_absret_next7d,0.95,None
2025-10-24,0.03389538962347737,0.0141531108510473,0,0.09053667909710846,0,0.05263157894736842,target_absret_next7d,0.95,None
2025-10-25,0.033861655716108094,0.013992108620515,0,0.06936608049475938,0,0.05241935483870968,target_absret_next7d,0.95,None
2025-10-26,0.03382792180873884,0.0109481036308502,0,0.10435505404472083,0,0.05220883534136546,target_absret_next7d,0.95,None
2025-10-27,0.03379418790136956,0.0156691003943766,0,0.02054897358508505,0,0.052,target_absret_next7d,0.95,None
2025-10-28,0.033760453994000295,0.0211241521080814,0,0.01566183571672919,0,0.05179282868525897,target_absret_next7d,0.95,None
2025-10-29,0.033726720086631023,0.020759310478945,0,0.02878110357249442,0,0.051587301587301584,target_absret_next7d,0.95,None
2025-10-30,0.033692986179261745,0.0221084262702836,0,0.0325307095611244,0,0.05138339920948617,target_absret_next7d,0.95,None
2025-10-31,0.03365925227189248,0.0232185636185856,0,0.04281312840521507,0,0.051181102362204724,target_absret_next7d,0.95,None
2025-11-01,0.0336255183645232,0.0239765980601696,0,0.07714092096883227,0,0.050980392156862744,target_absret_next7d,0.95,None
2025-11-02,0.033591784457153946,0.0266791244093649,0,0.09723893447994561,0,0.05078125,target_absret_next7d,0.95,None
2025-11-03,0.03355805054978467,0.0231463061289096,0,0.1874510456510104,0,0.05058365758754864,target_absret_next7d,0.95,None
2025-11-04,0.03352431664241539,0.0202241654418096,0,0.3568532266139762,0,0.050387596899224806,target_absret_next7d,0.95,None
2025-11-05,0.03349058273504613,0.0188340397114979,0,0.23065094360943017,0,0.05019305019305019,target_absret_next7d,0.95,None
2025-11-06,0.033456848827676855,0.0179921304255928,0,0.19254537311043413,0,0.05,target_absret_next7d,0.95,None
2025-11-07,0.0334231149203076,0.0228115698204235,0,0.48735262006428803,0,0.05363984674329502,target_absret_next7d,0.95,None
2025-11-08,0.03338660791419872,0.0229549657745047,0,0.4021829348314428,0,0.05343511450381679,target_absret_next7d,0.95,None
2025-11-09,0.03335010090808984,0.0216254567319535,0,0.3811333691442819,0,0.053231939163498096,target_absret_next7d,0.95,None
2025-11-10,0.033313593901980985,0.0230479929904545,0,0.18266606474715646,0,0.05303030303030303,target_absret_next7d,0.95,None
2025-11-11,0.0332770868958721,0.0201860262284175,0,0.05040776884471082,0,0.052830188679245285,target_absret_next7d,0.95,None
2025-11-12,0.03324057988976325,0.020444328681722,0,0.07455168060355544,0,0.05263157894736842,target_absret_next7d,0.95,None
2025-11-13,0.03320407288365437,0.0256153032927355,0,0.17858408663493658,0,0.052434456928838954,target_absret_next7d,0.95,None
2025-11-14,0.03316756587754549,0.0204709943960998,0,0.02235991752742374,0,0.05223880597014925,target_absret_next7d,0.95,None
2025-11-15,0.033131058871436636,0.0196069698007551,0,0.055142185391662456,0,0.05204460966542751,target_absret_next7d,0.95,None
2025-11-16,0.033094551865327754,0.0211147033217941,0,0.038683428434886175,0,0.05185185185185185,target_absret_next7d,0.95,None
2025-11-17,0.0330580448592189,0.0203487807999816,0,0.0716799168410002,0,0.05166051660516605,target_absret_next7d,0.95,None
2025-11-18,0.033021537853110024,0.0206769216521588,0,0.11801491154307572,0,0.051470588235294115,target_absret_next7d,0.95,None
2025-11-19,0.03298503084700114,0.0235087240655093,0,0.11933763402590353,0,0.05128205128205128,target_absret_next7d,0.95,None
2025-11-20,0.032948523840892266,0.0169013675185085,0,0.08744883991911592,0,0.051094890510948905,target_absret_next7d,0.95,None
2025-11-21,0.032912016834783425,0.0151084296403437,0,0.4299207887599584,0,0.05090909090909091,target_absret_next7d,0.95,None
2025-11-22,0.03287550982867455,0.0145678927463171,0,0.18977174641586583,0,0.050724637681159424,target_absret_next7d,0.95,None
2025-11-23,0.032839002822565674,0.0117341105019426,0,0.044144361797555,0,0.05054151624548736,target_absret_next7d,0.95,None
2025-11-24,0.03280249581645679,0.0159107314866521,0,0.05206983100888821,0,0.050359712230215826,target_absret_next7d,0.95,None
2025-11-25,0.03276598881034792,0.022409988959117,0,0.030434850724014955,0,0.05017921146953405,target_absret_next7d,0.95,None
2025-11-26,0.032729481804239076,0.0207069550108213,0,0.01500053335279023,0,0.05,target_absret_next7d,0.95,None
2025-11-27,0.0326929747981302,0.0214915784108822,0,0.02042630744693604,0,0.05338078291814947,target_absret_next7d,0.95,None
2025-11-28,0.03267203796139996,0.0251475778854362,0,0.04138046529217032,0,0.05319148936170213,target_absret_next7d,0.95,None
2025-11-29,0.03265110112466972,0.0251975602337059,0,0.02377998055139423,0,0.053003533568904596,target_absret_next7d,0.95,None
2025-11-30,0.03263016428793948,0.0264401082012526,0,0.016744604316201377,0,0.0528169014084507,target_absret_next7d,0.95,None
2025-12-01,0.03260922745120926,0.0202165658297131,0,0.018227996780104606,0,0.05263157894736842,target_absret_next7d,0.95,None
2025-12-02,0.03258829061447903,0.0154107575200089,0,0.005201089435748352,0,0.05244755244755245,target_absret_next7d,0.95,None
2025-12-03,0.03256735377774879,0.0131639263738928,0,0.003594150971529162,0,0.05226480836236934,target_absret_next7d,0.95,None
